CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6350156,2016,2017-02-11,1942,2016-02-14,1455,35903,2175,7,5,7,1942,0,0,0,,0,21X28,"CALIFA ST","TOPANGA CANYON BL",0.00,,Y,A,-,Y,LA,7,27,-,-,12.881,I,6,N,N,4,0,1,2,A,-,21,22106,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,A,07,0,0,1,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.60490421999999,34.177253649999997
6351376,2016,2017-02-11,1941,2016-03-06,0905,10784,,7,5,7,1941,0,0,0,,0,901,"PACIFIC COAST HWY","LIGHT POLE #L01379",21.00,E,N,A,-,Y,LA,7,1,-,-,5.800,H,-,S,N,4,0,1,2,A,-,08,22107,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,A,,0,0,1,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LONG BEACH",-118.18129026,33.78980731
6678181,2017,2019-04-05,1900,2017-06-23,0629,552548,2610,5,5,6,1950,0,0,0,,0,262T1,"RT 138","9TH ST EAST",227.00,W,N,A,-,Y,LA,7,138,-,-,44.510,H,-,E,Y,1,1,0,2,A,-,00,23153,F,N,G,B,F,A,H,-,A,A,0,Y,,,Y,Y,,G,25,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",PALMDALE,-118.11504313,34.57953345
6678210,2017,2018-01-23,1942,2017-11-09,2015,41111,1134,4,5,7,1942,0,0,0,K,0,11A89,"N SAN FERNANDO RD","RT 2",0.00,,Y,A,-,Y,LA,7,2,-,-,16.138,R,4,W,Y,1,1,1,2,A,-,10,21950,A,N,G,B,C,A,H,-,C,D,0,Y,,,,Y,,A,01,0,1,0,1,0,0,0,0,0,"- ",WO,,,"LOS ANGELES","LOS ANGELES",-118.24226827,34.114540169999998
6678324,2017,2019-04-05,1900,2017-09-23,2145,510568,0560,6,5,3,1968,0,0,0,,0,55T1,"ROSEMEAD BL","KLINGERMAN ST",24.00,S,N,A,-,Y,LA,7,164,-,-,4.300,H,-,S,N,1,1,0,2,A,-,02,21654,A,N,H,G,A,A,H,-,C,D,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",34.055160000000001,-118.06433,"LOS ANGELES","SOUTH EL MONTE",-118.06442177,34.05534084
6678328,2017,2018-01-30,1976,2017-10-24,1750,452,1976,2,5,5,1976,0,0,0,,0,004,"WHITTIER BL","VALLEY HOME AV",308.00,W,N,A,-,Y,LA,7,72,-,-,0.060,H,-,N,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,B,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",WHITTIER,-117.97752453,33.939997750000003
6678388,2017,2018-01-30,1965,2017-10-15,1858,3553,0B1A,7,5,5,1965,0,0,0,,0,B001,"PACIFIC COAST HWY","1 LA 36.60",39.00,N,N,A,-,Y,LA,7,1,-,-,36.610,H,-,N,Y,1,1,0,2,A,-,03,22350,,F,H,G,A,A,H,-,C,A,0,,Y,,,Y,,A,07,0,0,0,0,0,1,0,0,0,"- ","- ",,,"LOS ANGELES","SANTA MONICA",-118.51314096,34.024958810000001
6678393,2017,2019-04-05,1976,2017-10-27,1854,378,,5,5,5,1976,0,0,0,,0,002,"WHITTIER BL","PENN ST",173.00,E,N,A,-,Y,LA,7,72,-,-,4.830,H,-,S,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",WHITTIER,-118.04662815,33.975154019999998
6718625,2017,2019-04-08,1900,2017-11-26,2045,544630,1331,7,5,5,1908,0,0,0,,0,133T2,"RT 19","PEPPERWOOD AV",488.00,S,N,A,-,Y,LA,7,19,-,-,8.100,H,-,N,Y,1,1,0,3,A,-,11,21954,A,F,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",BELLFLOWER,-118.14288048,33.90665242
6718742,2018,2019-09-03,1941,2018-03-03,0301,6314,,6,5,7,1941,0,0,0,,0,,"RT 47","PIER A WY",0.00,,Y,C,-,Y,LA,7,103,-,-,0.020,H,-,N,N,1,1,0,3,A,-,00,21960,A,F,-,G,A,B,H,-,C,D,0,,Y,,,Y,,-,,0,0,0,0,0,1,0,0,0,"- ","- ",,,"LOS ANGELES","LONG BEACH",-118.24030303955078,33.771053314208984
7157364,2016,2017-02-03,1941,2016-01-04,1427,6209,,1,5,7,1941,0,0,0,,0,,"CHERRY AV","RT 91",5.00,S,N,A,-,Y,LA,7,91,-,R,13.274,R,1,W,N,4,0,1,2,D,-,00,,,N,G,G,A,A,H,-,A,A,0,,Y,,,Y,,-,"- ",0,0,1,0,0,0,1,0,0,"- ",WF,,,"LOS ANGELES","LONG BEACH",-118.16587746,33.875995799999998
7165553,2016,2017-02-07,1953,2016-01-14,1813,5281,1953,4,5,6,1953,0,0,0,,0,002,"MOUNTAIN ST","RT 210",0.00,,Y,A,-,Y,LA,7,210,-,R,23.910,R,4,E,N,4,0,1,2,A,-,09,21802,A,N,D,G,A,A,H,-,C,A,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,FR,EF,,,"LOS ANGELES",PASADENA,-118.15837379,34.164524800000002
7168267,2016,2017-02-11,1956,2016-01-05,1150,1192,01,2,5,5,1956,0,0,0,,0,008,"RT 1","AVENUE C",7.00,S,N,B,C,Y,LA,7,1,-,-,18.651,I,5,S,N,4,0,1,2,A,-,10,21950,A,N,D,B,B,B,H,-,A,A,0,Y,,,,Y,,A,07,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","REDONDO BEACH",-118.38558501999999,33.825707739999999
