CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6718742,2018,2019-09-03,1941,2018-03-03,0301,6314,,6,5,7,1941,0,0,0,,0,,"RT 47","PIER A WY",0.00,,Y,C,-,Y,LA,7,103,-,-,0.020,H,-,N,N,1,1,0,3,A,-,00,21960,A,F,-,G,A,B,H,-,C,D,0,,Y,,,Y,,-,,0,0,0,0,0,1,0,0,0,"- ","- ",,,"LOS ANGELES","LONG BEACH",-118.24030303955078,33.771053314208984
8404835,2018,2020-05-26,1900,2018-02-18,2135,513465,2607,7,5,6,1950,0,0,0,,0,263T1,"RT 138","MINSTREL DR",370.00,S,N,A,-,Y,LA,7,138,-,-,49.900,H,-,W,Y,1,1,0,2,D,-,00,,,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,-,"- ",0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",PALMDALE,-118.04518127441406,34.559318542480469
8404850,2018,2018-06-26,1942,2018-02-17,0555,34959,0787,6,5,7,1942,0,0,0,G,0,20T59,"CRENSHAW BL","23RD ST",434.00,S,N,B,-,Y,LA,7,10,-,R,11.220,R,4,W,N,1,1,0,2,A,-,11,21954,A,F,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.33666229248047,34.035018920898438
8404856,2018,2020-05-26,1900,2018-02-11,1935,602403,1017,7,5,3,1995,0,0,0,,0,103A,"RT 1","CROSS CREEK RD",1056.00,S,N,A,-,Y,LA,7,1,-,-,46.890,H,-,N,Y,1,1,0,2,A,-,11,21955,,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",34.035369873046875,-118.67971801757812,"LOS ANGELES",MALIBU,-118.68218231201172,34.034717559814453
8415407,2018,2018-08-10,1942,2018-01-26,1600,39123,0515,5,5,7,1942,0,0,0,E,0,5A12,"PACIFIC COAST HWY","GULF AV",0.00,,Y,A,-,Y,LA,7,1,-,-,11.145,I,5,N,N,3,0,1,2,A,-,10,21950,A,N,A,B,B,A,H,-,A,D,0,Y,,,,Y,,D,22,0,1,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.27398681640625,33.790657043457031
8465722,2018,2020-05-22,1923,2018-03-02,2233,520,ES210,5,5,3,1923,0,0,0,,0,3L2M,"SEPULVEDA BL","MARIPOSA AV",0.00,,Y,B,-,Y,LA,7,1,-,-,25.430,H,-,S,Y,1,1,0,2,A,-,09,21453,C,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,D,22,0,0,0,1,0,0,0,0,0,"- ","- ",33.923641204833984,-118.39627075195312,"LOS ANGELES","EL SEGUNDO",-118.39637756347656,33.923542022705078
8465945,2018,2020-05-26,1972,2018-09-16,0027,21432,,7,5,6,1972,0,0,0,,0,,"HAWTHORNE BL","ARTESIA BL",0.00,,Y,A,-,Y,LA,7,107,-,-,4.696,I,5,N,Y,1,1,0,2,A,-,11,21453,D,N,-,B,B,A,H,-,C,A,0,Y,,,,Y,Y,N,,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",TORRANCE,-118.35235595703125,33.872905731201172
8540318,2018,2018-08-10,1942,2018-01-25,1802,39318,0821,4,5,7,1942,0,0,0,H,0,8X48,"PACIFIC COAST HWY","SUNSET BL",0.00,,Y,A,-,Y,LA,7,1,-,-,39.326,I,5,S,Y,3,0,1,2,A,-,11,21106,B,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.55567932128906,34.0384521484375
8543630,2018,2018-08-03,1941,2018-01-14,1812,11140,,7,5,7,1941,0,0,0,,0,,"PACIFIC COAST HWY","GAVIOTA AV",40.00,W,N,A,-,Y,LA,7,1,-,-,5.210,H,-,S,N,3,0,1,2,A,-,03,22350,,F,C,G,A,A,H,-,C,D,0,,Y,,,Y,Y,A,,0,1,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LONG BEACH",-118.17105102539062,33.789806365966797
8546252,2018,2018-07-31,1956,2018-01-24,2054,1262,,3,5,5,1956,0,0,0,,0,004,"INGLEWOOD AV","RT 405",0.00,,Y,A,-,Y,LA,7,405,-,-,18.379,R,4,S,N,4,0,2,3,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,A,01,0,0,2,0,2,0,0,0,0,"- ","- ",,,"LOS ANGELES","REDONDO BEACH",-118.363037109375,33.892063140869141
